Entry.name	Entry (UniProtAC)	Protein Name	Gene names
KRT34_HUMAN	CON__Q8IUT8	"Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)"	
K1H1_HUMAN	CON__Q9UE12	"Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)"	
KT33A_HUMAN	CON__Q6NTB9	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	
K2C78_HUMAN	CON__Q8N1N4-2	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	
KNG1_HUMAN	CON__P01042	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	
HBE_HUMAN	CON__P02100	Hemoglobin subunit epsilon (Epsilon-globin) (Hemoglobin epsilon chain)	
A1BG_HUMAN	CON__P04217	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	
TRY2_HUMAN	CON__P07478	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	
A2AP_HUMAN	CON__P08697	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	
CO4B_HUMAN	CON__P0C0L5	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	
CO7_HUMAN	CON__P10643	Complement component C7	
TSP4_HUMAN	CON__P35443	Thrombospondin-4	
AFAM_HUMAN	CON__P43652	Afamin (Alpha-albumin) (Alpha-Alb)	
HBB_HUMAN	CON__P68871	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	
HBG1_HUMAN	CON__P69891	Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain)	
HBG2_HUMAN	CON__P69892	Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain)	
MTUS2_HUMAN	CON__Q5JR59	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	
KT33A_HUMAN	CON__O76009	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	
K2C78_HUMAN	CON__Q8N1N4	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	
KNG1_HUMAN	CON__P01042	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	
HBE_HUMAN	CON__P02100	Hemoglobin subunit epsilon (Epsilon-globin) (Hemoglobin epsilon chain)	
A1BG_HUMAN	CON__P04217	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	
TRY2_HUMAN	CON__P07478	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	
A2AP_HUMAN	CON__P08697	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	
CO4B_HUMAN	CON__P0C0L5	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	
CO7_HUMAN	CON__P10643	Complement component C7	
TSP4_HUMAN	CON__P35443	Thrombospondin-4	
AFAM_HUMAN	CON__P43652	Afamin (Alpha-albumin) (Alpha-Alb)	
HBB_HUMAN	CON__P68871	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	
HBG1_HUMAN	CON__P69891	Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain)	
HBG2_HUMAN	CON__P69892	Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain)	
MTUS2_HUMAN	CON__Q5JR59	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	
RL40_HUMAN	REV_CON__P62987	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	
RL14_HUMAN	REV_CON__P50914	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	
RL22_HUMAN	REV_CON__P35268	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	
RL27_HUMAN	REV_CON__P61353	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	
RL36L_HUMAN	REV_CON__Q969Q0	60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like)	
RL28_HUMAN	REV_CON__P46779	60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	
RL8_HUMAN	REV_CON__P62917	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	
RL38_HUMAN	REV_CON__P63173	60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	
RL32_HUMAN	REV_CON__P62910	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	
RL19_HUMAN	REV_CON__P84098	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	
RL23A_HUMAN	REV_CON__P62750	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	
R39L5_HUMAN	REV_CON__Q59GN2	Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5)	
RL39_HUMAN	REV_CON__P62891	60S ribosomal protein L39 (Large ribosomal subunit protein eL39)	
RL36_HUMAN	REV_CON__Q9Y3U8	60S ribosomal protein L36 (Large ribosomal subunit protein eL36)	
RL31_HUMAN	REV_CON__P62899	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	
RL6_HUMAN	REV_CON__Q02878	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	
RL30_HUMAN	REV_CON__P62888	60S ribosomal protein L30 (Large ribosomal subunit protein eL30)	
RL11_HUMAN	REV_CON__P62913	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	
RL26_HUMAN	REV_CON__P61254	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	
RL24_HUMAN	REV_CON__P83731	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	
RL12_HUMAN	REV_CON__P30050	60S ribosomal protein L12 (Large ribosomal subunit protein uL11)	
RL7L_HUMAN	REV_CON__Q6DKI1	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	
RL5_HUMAN	REV_CON__P46777	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	
RL10_HUMAN	REV_CON__P27635	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	
RL18_HUMAN	REV_CON__Q07020	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	
RL15_HUMAN	REV_CON__P61313	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	
RLA0_HUMAN	REV_CON__P05388	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	
RL21_HUMAN	REV_CON__P46778	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	
RL4_HUMAN	REV_CON__P36578	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	
RL9_HUMAN	REV_CON__P32969	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	
RL13A_HUMAN	REV_CON__P40429	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	
RL17_HUMAN	REV_CON__P18621	60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1)	
RL18A_HUMAN	REV_CON__Q02543	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	
RL37A_HUMAN	REV_CON__P61513	60S ribosomal protein L37a (Large ribosomal subunit protein eL43)	
RL35_HUMAN	REV_CON__P42766	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	
RL23_HUMAN	REV_CON__P62829	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	
RL13_HUMAN	REV_CON__P26373	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	
RL35A_HUMAN	REV_CON__P18077	60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)	
RL10A_HUMAN	REV_CON__P62906	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	
RL27A_HUMAN	REV_CON__P46776	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	
RL34_HUMAN	REV_CON__P49207	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	
RL3_HUMAN	REV_CON__P39023	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	
RL7_HUMAN	REV_CON__P18124	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	
RL26L_HUMAN	REV_CON__Q9UNX3	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	
RL29_HUMAN	REV_CON__P47914	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	
RL7A_HUMAN	REV_CON__P62424	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	
RS27A_HUMAN	REV_CON__P62979	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	
RS28_HUMAN	REV_CON__P62857	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	
RS27_HUMAN	REV_CON__P42677	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	
RS21_HUMAN	REV_CON__P63220	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	
RS30_HUMAN	REV_CON__P62861	FAU ubiquitin-like and ribosomal protein S30 [Cleaved into: Ubiquitin-like protein FUBI; 40S ribosomal protein S30 (Small ribosomal subunit protein eS30)]	
RS3_HUMAN	REV_CON__P23396	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	
RS8_HUMAN	REV_CON__P62241	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	
RS4X_HUMAN	REV_CON__P62701	"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)"	
RSSA_HUMAN	REV_CON__P08865	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	
RS11_HUMAN	REV_CON__P62280	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	
RS24_HUMAN	REV_CON__P62847	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	
RS16_HUMAN	REV_CON__P62249	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	
RS23_HUMAN	REV_CON__P62266	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	
RS18_HUMAN	REV_CON__P62269	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	
RS15_HUMAN	REV_CON__P62841	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	
RS2_HUMAN	REV_CON__P15880	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	
RS9_HUMAN	REV_CON__P46781	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	
RS26_HUMAN	REV_CON__P62854	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	
RS26L_HUMAN	REV_CON__Q5JNZ5	Putative 40S ribosomal protein S26-like 1	
RS14_HUMAN	REV_CON__P62263	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	
RS6_HUMAN	REV_CON__P62753	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	
RS25_HUMAN	REV_CON__P62851	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	
RS15A_HUMAN	REV_CON__P62244	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	
RS17_HUMAN	REV_CON__P08708	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	
RS13_HUMAN	REV_CON__P62277	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	
RS5_HUMAN	REV_CON__P46782	"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	
RS27L_HUMAN	REV_CON__Q71UM5	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	
RS3A_HUMAN	REV_CON__P61247	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	
RS20_HUMAN	REV_CON__P60866	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	
RS10_HUMAN	REV_CON__P46783	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	
RS19_HUMAN	REV_CON__P39019	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	
RS4Y1_HUMAN	REV_CON__P22090	"40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)"	
RS7_HUMAN	REV_CON__P62081	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	
RS12_HUMAN	REV_CON__P25398	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	
RS29_HUMAN	REV_CON__P62273	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	
K22E_HUMAN	REV_CON__P35908	"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)"	
KPRP_HUMAN	REV_CON__Q5T749	Keratinocyte proline-rich protein (hKPRP)	
KR87P_HUMAN	REV_CON__A6NCN2	"Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)"	
K2C6B_HUMAN	REV_CON__P04259	"Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)"	
H10_HUMAN	REV_CON__P07305	"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]"	
H14_HUMAN	REV_CON__P10412	Histone H1.4 (Histone H1b) (Histone H1s-4)	
H13_HUMAN	REV_CON__P16402	Histone H1.3 (Histone H1c) (Histone H1s-2)	
H1X_HUMAN	REV_CON__Q92522	Histone H1.10 (Histone H1x)	
H2A1J_HUMAN	REV_CON__Q99878	Histone H2A type 1-J (Histone H2A/e)	
H2A1H_HUMAN	REV_CON__Q96KK5	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)	
H2AJ_HUMAN	REV_CON__Q9BTM1	Histone H2A.J (H2a/j)	
H2A2C_HUMAN	REV_CON__Q16777	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	
H2A2A_HUMAN	REV_CON__Q6FI13	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	
H2A1D_HUMAN	REV_CON__P20671	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	
H2A1_HUMAN	REV_CON__P0C0S8	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	
H2A1C_HUMAN	REV_CON__Q93077	Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l)	
H2A3_HUMAN	REV_CON__Q7L7L0	Histone H2A type 3 (H2A-clustered histone 25)	
H2A1B_HUMAN	REV_CON__P04908	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	
H2A1A_HUMAN	REV_CON__Q96QV6	Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r)	
H2AX_HUMAN	REV_CON__P16104	Histone H2AX (H2a/x) (Histone H2A.X)	
H2B1H_HUMAN	REV_CON__Q93079	Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j)	
H2B2F_HUMAN	REV_CON__Q5QNW6	Histone H2B type 2-F (H2B-clustered histone 18)	
H2B1C_HUMAN	REV_CON__P62807	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	
H2B1K_HUMAN	REV_CON__O60814	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	
H2B1L_HUMAN	REV_CON__Q99880	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	
H2B1M_HUMAN	REV_CON__Q99879	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	
H2B1N_HUMAN	REV_CON__Q99877	Histone H2B type 1-N (Histone H2B.d) (H2B/d)	
H2B1D_HUMAN	REV_CON__P58876	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b)	
H2BFS_HUMAN	REV_CON__P57053	Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s)	
H2B1O_HUMAN	REV_CON__P23527	Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n)	
PSD12_HUMAN	REV_CON__O00232	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	
PRS8_HUMAN	REV_CON__P62195	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	
PSDE_HUMAN	REV_CON__O00487	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	
ADRM1_HUMAN	REV_CON__Q16186	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	
PRS7_HUMAN	REV_CON__P35998	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	
PSMD2_HUMAN	REV_CON__Q13200	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	
PRS6A_HUMAN	REV_CON__P17980	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	
PSMD4_HUMAN	REV_CON__P55036	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	
PSMD5_HUMAN	REV_CON__Q16401	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	
PSD11_HUMAN	REV_CON__O00231	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	
PSME2_HUMAN	REV_CON__Q9UL46	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	
PSMF1_HUMAN	REV_CON__Q92530	Proteasome inhibitor PI31 subunit (hPI31)	
PSD13_HUMAN	REV_CON__Q9UNM6	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	
PRS10_HUMAN	REV_CON__P62333	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	
PRS4_HUMAN	REV_CON__P62191	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	
PSMD1_HUMAN	REV_CON__Q99460	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	
PRS6B_HUMAN	REV_CON__P43686	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	
PSMD3_HUMAN	REV_CON__O43242	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	
ECM29_HUMAN	REV_CON__Q5VYK3	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	
PSMD6_HUMAN	REV_CON__Q15008	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)	
PSME1_HUMAN	REV_CON__Q06323	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	
PSMD7_HUMAN	REV_CON__P51665	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	
PSB10_HUMAN	REV_CON__P40306	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	
PSME4_HUMAN	REV_CON__Q14997	Proteasome activator complex subunit 4 (Proteasome activator PA200)	
PSB6_HUMAN	REV_CON__P28072	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)	
PSMD8_HUMAN	REV_CON__P48556	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)	
PSA5_HUMAN	REV_CON__P28066	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)	
PSB4_HUMAN	REV_CON__P28070	Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	
PSB2_HUMAN	REV_CON__P49721	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	
PSB1_HUMAN	REV_CON__P20618	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	
PSMG1_HUMAN	REV_CON__O95456	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	
PSA1_HUMAN	REV_CON__P25786	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	
PSA7_HUMAN	REV_CON__O14818	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	
PSA3_HUMAN	REV_CON__P25788	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)	
PSA2_HUMAN	REV_CON__P25787	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	
PSMD9_HUMAN	REV_CON__O00233	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	
PSA6_HUMAN	REV_CON__P60900	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	
PSA4_HUMAN	REV_CON__P25789	Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)	
PSD10_HUMAN	REV_CON__O75832	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	
PSB9_HUMAN	REV_CON__P28065	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	
PSB8_HUMAN	REV_CON__P28062	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	
PSMG2_HUMAN	REV_CON__Q969U7	Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	
PSB3_HUMAN	REV_CON__P49720	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	
